Id x1 y1 x2 y2
22 1 -1 0.875 -0.875
23 0.875 -0.875 0.875 -1
24 0.875 -1 1 -1
25 0 0 0.125 -0.125
26 0.125 -0.125 0.125 0
27 0.125 0 0 0
28 0.5 -0.5 0.375 -0.375
29 0.375 -0.375 0.375 -0.5
30 0.375 -0.5 0.5 -0.5
31 0.5 -0.5 0.625 -0.625
32 0.625 -0.625 0.625 -0.5
33 0.625 -0.5 0.5 -0.5
34 0.5 -1 0.375 -0.875
35 0.375 -0.875 0.375 -1
36 0.375 -1 0.5 -1
37 0.5 0 0.625 -0.125
38 0.625 -0.125 0.625 0
39 0.625 0 0.5 0
40 0 -0.5 0.125 -0.625
41 0.125 -0.625 0.125 -0.5
42 0.125 -0.5 0 -0.5
43 1 -0.5 0.875 -0.375
44 0.875 -0.375 0.875 -0.5
45 0.875 -0.5 1 -0.5
46 0.75 -0.75 0.625 -0.625
47 0.625 -0.625 0.625 -0.75
48 0.625 -0.75 0.75 -0.75
49 0.25 -0.25 0.375 -0.375
50 0.375 -0.375 0.375 -0.25
51 0.375 -0.25 0.25 -0.25
52 0.25 -0.25 0.125 -0.125
53 0.125 -0.125 0.125 -0.25
54 0.125 -0.25 0.25 -0.25
55 0.75 -0.75 0.875 -0.875
56 0.875 -0.875 0.875 -0.75
57 0.875 -0.75 0.75 -0.75
58 0.25 -0.75 0.125 -0.625
59 0.125 -0.625 0.125 -0.75
60 0.125 -0.75 0.25 -0.75
61 0.75 -0.25 0.875 -0.375
62 0.875 -0.375 0.875 -0.25
63 0.875 -0.25 0.75 -0.25
64 0.25 -0.75 0.375 -0.875
65 0.375 -0.875 0.375 -0.75
66 0.375 -0.75 0.25 -0.75
67 0.75 -0.25 0.625 -0.125
68 0.625 -0.125 0.625 -0.25
69 0.625 -0.25 0.75 -0.25
70 0.75 -1 0.625 -0.875
71 0.625 -0.875 0.625 -1
72 0.625 -1 0.75 -1
73 0.25 0 0.375 -0.125
74 0.375 -0.125 0.375 0
75 0.375 0 0.25 0
76 0.25 -0.5 0.125 -0.375
77 0.125 -0.375 0.125 -0.5
78 0.125 -0.5 0.25 -0.5
79 0.75 -0.5 0.875 -0.625
80 0.875 -0.625 0.875 -0.5
81 0.875 -0.5 0.75 -0.5
82 0.25 -1 0.125 -0.875
83 0.125 -0.875 0.125 -1
84 0.125 -1 0.25 -1
85 0.75 0 0.875 -0.125
86 0.875 -0.125 0.875 0
87 0.875 0 0.75 0
88 0.25 -0.5 0.375 -0.625
89 0.375 -0.625 0.375 -0.5
90 0.375 -0.5 0.25 -0.5
91 0.75 -0.5 0.625 -0.375
92 0.625 -0.375 0.625 -0.5
93 0.625 -0.5 0.75 -0.5
94 0.5 -0.75 0.625 -0.875
95 0.625 -0.875 0.625 -0.75
96 0.625 -0.75 0.5 -0.75
97 0.5 -0.25 0.375 -0.125
98 0.375 -0.125 0.375 -0.25
99 0.375 -0.25 0.5 -0.25
100 0 -0.25 0.125 -0.375
101 0.125 -0.375 0.125 -0.25
102 0.125 -0.25 0 -0.25
103 1 -0.75 0.875 -0.625
104 0.875 -0.625 0.875 -0.75
105 0.875 -0.75 1 -0.75
106 0 -0.75 0.125 -0.875
107 0.125 -0.875 0.125 -0.75
108 0.125 -0.75 0 -0.75
109 1 -0.25 0.875 -0.125
110 0.875 -0.125 0.875 -0.25
111 0.875 -0.25 1 -0.25
112 0.5 -0.75 0.375 -0.625
113 0.375 -0.625 0.375 -0.75
114 0.375 -0.75 0.5 -0.75
115 0.5 -0.25 0.625 -0.375
116 0.625 -0.375 0.625 -0.25
117 0.625 -0.25 0.5 -0.25
118 0.75 -0.75 0.75 -0.875
119 0.75 -0.875 0.875 -0.875
120 0.25 -0.25 0.25 -0.125
121 0.25 -0.125 0.125 -0.125
122 0.25 -0.25 0.25 -0.375
123 0.25 -0.375 0.375 -0.375
124 0.75 -0.75 0.75 -0.625
125 0.75 -0.625 0.625 -0.625
126 0.25 -0.75 0.25 -0.875
127 0.25 -0.875 0.375 -0.875
128 0.75 -0.25 0.75 -0.125
129 0.75 -0.125 0.625 -0.125
130 0.25 -0.75 0.25 -0.625
131 0.25 -0.625 0.125 -0.625
132 0.75 -0.25 0.75 -0.375
133 0.75 -0.375 0.875 -0.375
134 0.5 -0.5 0.5 -0.625
135 0.5 -0.625 0.625 -0.625
136 0.5 -0.5 0.5 -0.375
137 0.5 -0.375 0.375 -0.375
138 0 0 0 -0.125
139 0 -0.125 0.125 -0.125
140 1 -1 1 -0.875
141 1 -0.875 0.875 -0.875
142 0 -0.5 0 -0.625
143 0 -0.625 0.125 -0.625
144 1 -0.5 1 -0.375
145 1 -0.375 0.875 -0.375
146 0.5 -1 0.5 -0.875
147 0.5 -0.875 0.375 -0.875
148 0.5 0 0.5 -0.125
149 0.5 -0.125 0.625 -0.125
150 0.5 -0.75 0.5 -0.875
151 0.5 -0.875 0.625 -0.875
152 0.5 -0.25 0.5 -0.125
153 0.5 -0.125 0.375 -0.125
154 0 -0.25 0 -0.375
155 0 -0.375 0.125 -0.375
156 1 -0.75 1 -0.625
157 1 -0.625 0.875 -0.625
158 0 -0.75 0 -0.875
159 0 -0.875 0.125 -0.875
160 1 -0.25 1 -0.125
161 1 -0.125 0.875 -0.125
162 0.5 -0.75 0.5 -0.625
163 0.5 -0.625 0.375 -0.625
164 0.5 -0.25 0.5 -0.375
165 0.5 -0.375 0.625 -0.375
166 0.75 -1 0.75 -0.875
167 0.75 -0.875 0.625 -0.875
168 0.25 0 0.25 -0.125
169 0.25 -0.125 0.375 -0.125
170 0.25 -0.5 0.25 -0.375
171 0.25 -0.375 0.125 -0.375
172 0.75 -0.5 0.75 -0.625
173 0.75 -0.625 0.875 -0.625
174 0.25 -1 0.25 -0.875
175 0.25 -0.875 0.125 -0.875
176 0.75 0 0.75 -0.125
177 0.75 -0.125 0.875 -0.125
178 0.25 -0.5 0.25 -0.625
179 0.25 -0.625 0.375 -0.625
180 0.75 -0.5 0.75 -0.375
181 0.75 -0.375 0.625 -0.375
182 0.75 -1 0.875 -1
183 0.875 -1 0.75 -0.875
184 0.25 0 0.125 0
185 0.125 0 0.25 -0.125
186 0.375 -0.5 0.25 -0.375
187 0.625 -0.5 0.75 -0.625
188 0.25 -1 0.375 -1
189 0.375 -1 0.25 -0.875
190 0.75 0 0.625 0
191 0.625 0 0.75 -0.125
192 0.125 -0.5 0.25 -0.625
193 0.875 -0.5 0.75 -0.375
194 0.625 -0.75 0.5 -0.625
195 0.375 -0.25 0.5 -0.375
196 0.125 -0.25 0 -0.125
197 0 -0.125 0 -0.25
198 0.875 -0.75 1 -0.875
199 1 -0.875 1 -0.75
200 0.125 -0.75 0 -0.625
201 0 -0.625 0 -0.75
202 0.875 -0.25 1 -0.375
203 1 -0.375 1 -0.25
204 0.375 -0.75 0.5 -0.875
205 0.625 -0.25 0.5 -0.125
206 0.5 -1 0.625 -1
207 0.625 -1 0.5 -0.875
208 0.5 0 0.375 0
