Id V1 V2 V3
593 115 89 204 
759 219 253 133 
777 114 115 258 
781 147 259 134 
827 97 271 98 
902 253 292 9 
903 253 43 292 
998 259 75 318 
999 259 318 76 
1002 258 319 4 
1003 258 49 319 
1027 204 89 325 
1035 115 327 89 
1107 159 345 94 
1110 257 346 10 
1111 257 94 346 
1118 326 55 348 
1119 326 348 95 
1126 325 350 47 
1127 325 95 350 
1136 353 96 352 
1137 353 352 52 
1148 356 355 96 
1149 356 11 355 
1162 353 52 359 
1163 353 359 191 
1167 97 98 361 
1168 361 360 97 
1169 361 51 360 
1170 300 51 361 
1171 300 361 98 
1186 282 29 365 
1187 282 365 100 
1190 281 366 48 
1191 281 100 366 
1194 271 52 367 
1195 271 367 72 
1202 289 369 67 
1203 289 101 369 
1206 303 60 370 
1207 303 370 101 
1210 246 371 6 
1211 246 102 371 
1219 211 103 373 
1225 375 31 374 
1234 280 29 377 
1235 280 377 102 
1247 189 380 105 
1250 337 381 19 
1259 163 106 383 
1262 254 40 384 
1263 254 384 106 
1270 381 386 19 
1275 201 387 108 
1278 331 19 388 
1279 331 388 107 
1282 340 389 41 
1283 340 107 389 
1286 255 390 69 
1287 255 109 390 
1295 140 392 109 
1303 110 395 111 
1304 395 110 394 
1305 395 394 58 
1307 111 396 112 
1308 396 111 395 
1309 396 395 58 
1310 248 396 58 
1311 248 112 396 
1319 110 111 399 
1320 399 398 110 
1321 399 73 398 
1322 264 73 399 
1323 264 399 111 
1330 263 21 401 
1331 263 401 113 
1334 262 402 12 
1335 262 113 402 
1342 258 4 404 
1343 258 404 114 
1347 114 406 115 
1348 406 114 405 
1349 406 405 50 
1350 327 406 50 
1351 327 115 406 
1358 257 10 408 
1359 257 408 116 
1362 322 409 55 
1363 322 116 409 
1366 272 410 42 
1367 272 117 410 
1371 273 411 117 
1382 256 414 65 
1383 256 118 414 
1387 184 415 118 
1394 354 68 417 
1395 354 417 119 
1398 352 418 52 
1399 352 119 418 
1402 340 41 419 
1403 340 419 120 
1406 332 420 15 
1407 332 120 420 
1409 111 112 421 
1411 250 421 112 
1412 251 39 422 
1413 251 422 122 
1414 252 422 39 
1415 252 122 422 
1416 252 78 423 
1417 252 423 122 
1418 339 423 78 
1419 339 122 423 
1420 251 424 77 
1421 251 122 424 
1422 338 77 424 
1423 338 424 122 
1424 248 87 425 
1425 248 425 112 
1426 229 425 87 
1428 249 18 426 
1429 249 426 124 
1430 247 426 18 
1431 247 124 426 
1432 246 427 22 
1433 246 121 427 
1435 157 427 121 
1436 249 428 14 
1437 249 124 428 
1438 239 14 428 
1439 239 428 124 
1440 246 6 429 
1441 246 429 121 
1442 244 429 6 
1443 244 121 429 
1444 247 15 430 
1445 247 430 124 
1447 222 124 430 
1448 244 24 431 
1449 244 431 121 
1450 267 431 24 
1451 267 121 431 
1452 245 83 432 
1453 245 432 126 
1454 243 432 83 
1455 243 126 432 
1456 242 69 433 
1457 242 433 123 
1460 245 434 2 
1461 245 126 434 
1462 241 2 434 
1463 241 434 126 
1464 242 435 57 
1465 242 123 435 
1466 298 57 435 
1467 298 435 123 
1468 243 79 436 
1469 243 436 126 
1470 236 436 79 
1471 236 126 436 
1472 240 80 437 
1473 240 437 125 
1475 145 125 437 
1476 241 438 82 
1477 241 126 438 
1478 236 82 438 
1479 236 438 126 
1480 240 439 79 
1481 240 125 439 
1482 236 79 439 
1483 236 439 125 
1484 239 440 17 
1485 239 124 440 
1487 222 440 124 
1488 238 82 441 
1489 238 441 125 
1490 236 441 82 
1491 236 125 441 
1492 239 442 14 
1493 239 128 442 
1494 237 14 442 
1495 237 442 128 
1496 238 443 39 
1497 238 125 443 
1499 145 443 125 
1500 239 17 444 
1501 239 444 128 
1502 234 444 17 
1503 234 128 444 
1504 234 16 445 
1505 234 445 128 
1507 225 128 445 
1508 237 446 37 
1509 237 128 446 
1511 225 446 128 
1512 234 447 16 
1513 234 127 447 
1516 235 88 448 
1517 235 448 130 
1518 233 448 88 
1519 233 130 448 
1520 234 17 449 
1521 234 449 127 
1523 220 127 449 
1524 235 450 3 
1525 235 130 450 
1526 231 3 450 
1527 231 450 130 
1529 232 127 451 
1531 220 451 127 
1532 233 84 452 
1533 233 452 130 
1534 229 452 84 
1535 229 130 452 
1537 232 453 127 
1540 231 454 87 
1541 231 130 454 
1542 229 87 454 
1543 229 454 130 
1548 229 84 456 
1550 250 456 84 
1551 250 112 456 
1554 306 20 457 
1555 306 457 129 
1562 301 459 21 
1563 301 129 459 
1598 265 468 68 
1599 265 123 468 
1603 219 133 469 
1606 253 9 470 
1607 253 470 133 
1608 254 471 45 
1609 254 106 471 
1611 163 471 106 
1612 255 8 472 
1613 255 472 109 
1615 140 109 472 
1617 184 118 473 
1618 256 61 473 
1619 256 473 118 
1621 159 94 474 
1622 257 59 474 
1623 257 474 94 
1624 258 475 49 
1625 258 115 475 
1627 204 475 115 
1629 147 134 476 
1631 166 476 134 
1632 259 76 477 
1633 259 477 134 
1634 311 477 76 
1635 311 134 477 
1637 165 478 135 
1638 260 478 66 
1639 260 135 478 
1640 260 64 479 
1641 260 479 135 
1642 284 479 64 
1643 284 135 479 
1645 165 135 480 
1646 285 35 480 
1647 285 480 135 
1648 261 481 66 
1649 261 136 481 
1651 154 481 136 
1653 154 136 482 
1654 294 5 482 
1655 294 482 136 
1656 261 61 483 
1657 261 483 136 
1658 256 483 61 
1659 256 136 483 
1660 263 484 22 
1661 263 113 484 
1662 262 22 484 
1663 262 484 113 
1664 264 485 85 
1665 264 111 485 
1666 421 85 485 
1667 421 485 111 
1668 265 486 81 
1669 265 137 486 
1671 173 486 137 
1673 185 487 137 
1674 287 487 11 
1675 287 137 487 
1676 265 68 488 
1677 265 488 137 
1679 185 137 488 
1680 266 489 63 
1681 266 138 489 
1682 368 63 489 
1683 368 489 138 
1685 217 138 490 
1686 266 65 490 
1687 266 490 138 
1689 217 491 138 
1690 369 491 67 
1691 369 138 491 
1692 267 26 492 
1693 267 492 121 
1695 157 121 492 
1696 268 71 493 
1697 268 493 139 
1698 269 493 71 
1699 269 139 493 
1700 269 74 494 
1701 269 494 139 
1703 139 495 140 
1704 495 139 494 
1705 495 494 74 
1706 283 495 74 
1707 283 140 495 
1708 268 496 8 
1709 268 139 496 
1711 139 140 497 
1712 497 496 139 
1713 497 8 496 
1714 472 8 497 
1715 472 497 140 
1716 270 498 10 
1717 270 141 498 
1719 215 498 141 
1721 168 499 141 
1722 289 499 86 
1723 289 141 499 
1725 168 141 500 
1726 270 85 500 
1727 270 500 141 
1728 271 72 501 
1729 271 501 98 
1731 195 98 501 
1732 272 44 502 
1733 272 502 117 
1734 273 502 44 
1735 273 117 502 
1736 274 503 46 
1737 274 142 503 
1738 411 46 503 
1739 411 503 142 
1741 193 504 142 
1742 412 504 12 
1743 412 142 504 
1745 193 142 505 
1746 274 48 505 
1747 274 505 142 
1748 269 506 74 
1749 269 143 506 
1750 275 74 506 
1751 275 506 143 
1752 269 71 507 
1753 269 507 143 
1754 397 507 71 
1755 397 143 507 
1756 275 508 73 
1757 275 143 508 
1758 398 73 508 
1759 398 508 143 
1760 278 7 509 
1761 278 509 146 
1762 276 509 7 
1763 276 146 509 
1764 279 77 510 
1765 279 510 144 
1766 338 510 77 
1767 338 144 510 
1768 278 511 18 
1769 278 146 511 
1770 247 18 511 
1771 247 511 146 
1772 279 512 7 
1773 279 144 512 
1774 276 7 512 
1775 276 512 144 
