Id X Y
0 -1 0
1 -1 -1
2 0 1
3 1 1
4 0 -1
5 1 -1
6 1 0
7 0 0
8 0.5 -1
9 1 -0.5
10 0.5 0
11 0 -0.5
12 -0.5 -0.5
13 0.5 0.5
14 0.5 -0.5
15 -0.5 -1
16 1 0.5
17 -0.5 0
18 0 0.5
19 0.25 -1
20 1 -0.75
21 0.25 0
22 0 -0.75
23 0.75 -1
24 1 -0.25
25 0.75 0
26 0 -0.25
27 0.75 -0.25
28 0.25 -0.75
29 -0.25 -0.75
30 -0.25 -0.25
31 0.75 0.25
32 0.25 0.25
33 0.75 -0.75
34 0.25 -0.25
35 0.5 -0.75
36 0.75 -0.5
37 0.5 -0.25
38 0.25 -0.5
39 1 0.25
40 0 0.25
41 0.125 -1
42 1 -0.875
43 0.125 0
44 0 -0.875
45 0.625 -1
46 1 -0.375
47 0.625 0
48 0 -0.375
49 -0.25 -1
50 -0.25 0
51 0.375 -1
52 1 -0.625
53 0.375 0
54 0 -0.625
55 0.875 -1
56 1 -0.125
57 0.875 0
58 0 -0.125
59 -0.25 -0.5
60 0.5 0.25
61 0.125 -0.875
62 0.875 -0.125
63 0.875 -0.375
64 0.625 -0.125
65 0.875 -0.25
66 0.75 -0.125
67 0.375 -0.875
68 0.125 -0.625
69 0.25 -0.875
70 0.125 -0.75
71 -0.125 -0.875
72 -0.125 -0.625
73 -0.125 -0.125
74 -0.125 -0.375
75 0.875 0.125
76 0.625 0.125
77 0.125 0.125
78 0.375 0.125
79 0.875 -0.875
80 0.625 -0.625
81 0.875 -0.75
82 0.75 -0.875
83 0.125 -0.125
84 0.375 -0.375
85 0.25 -0.125
86 0.125 -0.25
87 0.5 -0.875
88 0.5 -0.625
89 0.625 -0.875
90 0.375 -0.75
91 0.625 -0.75
92 0.875 -0.5
93 0.625 -0.5
94 0.875 -0.625
95 0.75 -0.375
96 0.75 -0.625
97 0.5 -0.125
98 0.5 -0.375
99 0.375 -0.125
100 0.625 -0.25
101 0.375 -0.25
102 0.625 -0.375
103 0.125 -0.5
104 0.375 -0.5
105 0.125 -0.375
106 0.25 -0.625
107 0.25 -0.375
108 0.375 -0.625
109 0.5 1
110 -1 -0.5
111 -0.75 -0.75
112 0.25 0.75
113 -0.75 -0.25
114 0.75 0.75
115 1 0.75
116 -0.75 0
117 0.75 0.5
118 -0.5 -0.25
119 0.75 1
120 -1 -0.25
121 0.5 0.75
122 -0.75 -0.5
123 0.25 0.5
124 -0.5 -0.75
125 0 0.75
126 -0.75 -1
127 0.25 1
128 -1 -0.75
129 -0.875 -0.625
130 0.375 0.875
131 -0.875 -0.875
132 0.125 0.875
133 -0.625 -0.875
134 0.125 0.625
135 -0.375 -0.625
136 0.375 0.375
137 -0.375 -0.875
138 0.125 0.375
139 -0.625 -0.625
140 0.375 0.625
141 -0.875 -0.375
142 0.625 0.875
143 -0.625 -0.375
144 0.625 0.625
145 -0.875 -0.125
146 0.875 0.875
147 -0.375 -0.125
148 0.875 0.375
149 -0.375 -0.375
150 0.625 0.375
151 -0.625 -0.125
152 0.875 0.625
153 0.875 0.75
154 -0.75 -0.125
155 1 0.625
156 -0.625 0
157 0.75 0.625
158 -0.625 -0.25
159 0.875 0.5
160 -0.5 -0.125
161 0.625 0.25
162 -0.25 -0.375
163 0.5 0.375
164 -0.375 -0.5
165 0.75 0.375
166 -0.375 -0.25
167 0.625 0.5
168 -0.5 -0.375
169 1 0.375
170 -0.375 0
171 0.875 0.25
172 -0.25 -0.125
173 1 0.875
174 -0.875 0
175 0.75 0.875
176 -0.875 -0.25
177 0.875 1
178 -1 -0.125
179 0.625 0.75
180 -0.75 -0.375
181 0.5 0.625
182 -0.625 -0.5
183 0.625 1
184 -1 -0.375
185 0.5 0.875
186 -0.875 -0.5
187 0.375 0.75
188 -0.75 -0.625
189 0.25 0.625
190 -0.625 -0.75
191 0.375 0.5
192 -0.5 -0.625
193 0.125 0.25
194 -0.25 -0.875
195 0 0.375
196 -0.375 -1
197 0.25 0.375
198 -0.375 -0.75
199 0.125 0.5
200 -0.5 -0.875
201 0.375 0.25
